Product Code,Product Description,Product,Price Excl.,QTY,Price INC,Total inc,Price Excluding x 1.5,Retail IN VAT.,Total Stock @ Retail Price,Huntex sale piece /1.1,Huntes Rounded to next 10,Sold
RBH33210,HORNADY 338-230gr ELD-X (100),Punte,1091.12,5,1254.7879999999998,6273.939999999999,1636.6799999999998,1640,8200,1490.9090909090908,1490,
,,,,,,,,,,,,
RCH8684,HORNADY CASES 338 LAPUA (20),Cases,1304.5,2,1500.175,3000.35,1956.75,1960,3920,1781.8181818181818,1780,
RCH8784,HORNADY CASES 45/70 GOVT (50),Cases,1507.22,2,1733.3029999999999,3466.6059999999998,2260.83,2260,4520,2054.5454545454545,2050,
RCH86288,HORNADY CASES 6.5 PRC (50),Cases,1248.11,2,1435.3264999999997,2870.6529999999993,1872.165,1870,3740,1699.9999999999998,1700,
RCH86280,HORNADY CASES 6MM CREEDMOOR (50),Cases,973.6,2,1119.6399999999999,2239.2799999999997,1460.4,1460,2920,1327.2727272727273,1330,
RCH86281,HORNADY CASES 6.5 CREEDMOOR (50),Cases,957.27,2,1100.8605,2201.721,1435.905,1440,2880,1309.090909090909,1310,
RCH86283,HORNADY CASES 6.5 GRENDEL (50),Cases,923.34,2,1061.841,2123.682,1385.01,1390,2780,1263.6363636363635,1260,
RCH8661,HORNADY CASES 308 Win Match (50),Cases,960.95,2,1105.0925,2210.185,1441.4250000000002,1440,2880,1309.090909090909,1310,
RCH8619,HORNADY CASES 22 CREEDMOOR(50),Cases,1050.7,2,1208.305,2416.61,1576.0500000000002,1580,3160,1436.3636363636363,1440,
RCH8620,HORNADY CASES 243 WIN.(50),Cases,957.27,2,1100.8605,2201.721,1435.905,1440,2880,1309.090909090909,1310,
RCH8632,HORNADY CASES 260 REM (50),Cases,1079.7,2,1241.655,2483.31,1619.5500000000002,1620,3240,1472.7272727272725,1470,
,,,,,,,,,,,,
,,,,2,0,0,0,0,0,0,0,
RBH22006,HORNADY 20-40gr V-MAX (100),16,530.89,2,610.5234999999999,1221.0469999999998,796.335,800,1600,727.2727272727273,730,
RBH2207,HORNADY 5.45-60gr V-MAX (100),7,388.95,2,447.29249999999996,894.5849999999999,583.425,580,1160,527.2727272727273,530,
RBH22402,HORNADY 22-50gr CX (50),23,961.48,2,1105.702,2211.404,1442.22,1440,2880,1309.090909090909,1310,
RBH224034,HORNADY 22-50gr ECX (50),40,736.3,2,846.7449999999999,1693.4899999999998,1104.4499999999998,1100,2200,999.9999999999999,1000,
RBH22411,HORNADY 6MM-58gr V-MAX (100),44,549.15,2,631.5224999999999,1263.0449999999998,823.7249999999999,820,1640,745.4545454545454,750,
RBH22415,HORNADY 6MM-65gr V-MAX (100),35,649.3,2,746.6949999999999,1493.3899999999999,973.9499999999999,970,1940,881.8181818181818,880,
RBH22416,HORNADY 22-40gr V-MAX (250),21,1170.19,2,1345.7185,2691.437,1755.285,1760,3520,1599.9999999999998,1600,
RBH22420,HORNADY 6MM-75gr V-MAX (100),85,632.55,2,727.4324999999999,1454.8649999999998,948.8249999999999,950,1900,863.6363636363635,860,
RBH2249,HORNADY 22-52gr BTHP MATCH (100),47,505.72,2,581.578,1163.156,758.58,760,1520,690.9090909090909,690,
RBH22520,HORNADY 25-75gr V-MAX (100),37,645.53,2,742.3594999999999,1484.7189999999998,968.295,970,1940,881.8181818181818,880,
RBH22606,HORNADY 20-40gr V-MAX (250),22,1170.49,2,1346.0635,2692.127,1755.7350000000001,1760,3520,1599.9999999999998,1600,
RBH2265,HORNADY 22-55gr SP (100),86,375.19,2,431.46849999999995,862.9369999999999,562.785,560,1120,509.09090909090907,510,
RBH2266,HORNADY 22-55gr SPWC (100),45,416.88,2,479.412,958.824,625.3199999999999,630,1260,572.7272727272726,570,
RBH2267,HORNADY 22-55gr FMJ (100),41,308.93,2,355.2695,710.539,463.395,460,920,418.18181818181813,420,
RBH2279,HORNADY 22-75gr BTHP (100),5,582.27,2,669.6104999999999,1339.2209999999998,873.405,870,1740,790.9090909090909,790,
RBH22799,HORNADY 22-76gr A-TIP (100),10,1780.87,2,2048.0004999999996,4096.000999999999,2671.305,2670,5340,2427.272727272727,2430,
RBH22810,HORNADY 7mm-120gr V-MAX (100),48,809.4,2,930.81,1861.62,1214.1,1210,2420,1100,1100,
RBH22813,HORNADY 22-70gr CX (50),20,1001.72,2,1151.9779999999998,2303.9559999999997,1502.58,1500,3000,1363.6363636363635,1360,
RBH2286,HORNADY 22- 90gr A-TIP (100),33,1614.71,2,1856.9164999999998,3713.8329999999996,2422.065,2420,4840,2200,2200,
RBH243704,HORNADY 6mm-80gr CX (50),48,961.5,2,1105.725,2211.45,1442.25,1440,2880,1309.090909090909,1310,
RBH24444,HORNADY 6mm-90gr CX (50),69,923,2,1061.4499999999998,2122.8999999999996,1384.5,1380,2760,1254.5454545454545,1250,
RBH24530B,HORNADY 6mm-109gr ELD-M (2500),2,20076.2,2,23087.629999999997,46175.259999999995,30114.300000000003,30110,60220,27372.727272727272,27370,
RBH2458,HORNADY 6mm-105gr BTHP MATCH (100),2,698.99,2,803.8385,1607.677,1048.4850000000001,1050,2100,954.5454545454545,950,
RBH254104,HORNADY 25-90gr CX (50),27,961.48,2,1105.702,2211.404,1442.22,1440,2880,1309.090909090909,1310,
RBH2550,HORNADY 25-117gr RN (100),14,813.51,2,935.5364999999999,1871.0729999999999,1220.2649999999999,1220,2440,1109.090909090909,1110,
RBH26100,HORNADY 6.5-100gr ELD MATCH (100),43,969.73,2,1115.1895,2230.379,1454.595,1450,2900,1318.181818181818,1320,
RBH261104,HORNADY 6.5-120gr CX (50),13,942,2,1083.3,2166.6,1413,1410,2820,1281.8181818181818,1280,
RBH26111,HORNADY 6.5-90gr CX (6.5 GRENDEL) (50),15,1001.8,2,1152.07,2304.14,1502.6999999999998,1500,3000,1363.6363636363635,1360,
RBH26173,HORNADY 6.5-123gr SST (100),24,890.3,2,1023.8449999999999,2047.6899999999998,1335.4499999999998,1340,2680,1218.181818181818,1220,
RBH26174,HORNADY 6.5-123gr BTHP (6.5 GRENDEL) (100),13,777.3,2,893.8949999999999,1787.7899999999997,1165.9499999999998,1170,2340,1063.6363636363635,1060,
RBH26175,HORNADY 6.5-120gr ELD MATCH (100),99,893.8,2,1027.87,2055.74,1340.6999999999998,1340,2680,1218.181818181818,1220,
RBH26176,HORNADY 6.5-123gr ELD MATCH (100),21,994.73,2,1143.9395,2287.879,1492.095,1490,2980,1354.5454545454545,1350,
RBH26178,HORNADY 6.5-130gr CX (50),20,961.5,2,1105.725,2211.45,1442.25,1440,2880,1309.090909090909,1310,
RBH26179,HORNADY 6.5- 135gr A-TIP (100),22,1858.77,2,2137.5854999999997,4275.170999999999,2788.1549999999997,2790,5580,2536.363636363636,2540,
RBH2620,HORNADY 6.5-129gr SP (100),40,797.57,2,917.2055,1834.411,1196.355,1200,2400,1090.9090909090908,1090,
RBH263364,HORNADY 6.5-140gr ECX (50),39,1005.7,2,1156.555,2313.11,1508.5500000000002,1510,3020,1372.7272727272725,1370,
RBH2638,HORNADY 6.5-153gr A-TIP (100),73,1716.5,2,1973.975,3947.95,2574.75,2570,5140,2336.363636363636,2340,
RBH2716,HORNADY 270/6.8-120gr SST (100),10,890.28,2,1023.8219999999999,2047.6439999999998,1335.42,1340,2680,1218.181818181818,1220,
RBH27200,HORNADY 270/6.8-110gr BTHP Match (100),7,699.77,2,804.7354999999999,1609.4709999999998,1049.655,1050,2100,954.5454545454545,950,
RBH27309,HORNADY 270-130gr IB (100),68,1638.2,2,1883.9299999999998,3767.8599999999997,2457.3,2460,4920,2236.363636363636,2240,
RBH273704,HORNADY 270-130gr CX (50),48,961.48,2,1105.702,2211.404,1442.22,1440,2880,1309.090909090909,1310,
RBH27409,HORNADY 270-150gr IB (100),45,1714.8,2,1972.0199999999998,3944.0399999999995,2572.2,2570,5140,2336.363636363636,2340,
RBH2820,HORNADY 7MM-139gr SP (100),99,790.46,2,909.029,1818.058,1185.69,1190,2380,1081.8181818181818,1080,
RBH28202,HORNADY 7MM-139gr SST (100),36,866.17,2,996.0954999999999,1992.1909999999998,1299.2549999999999,1300,2600,1181.8181818181818,1180,
RBH28214,HORNADY 7MM-150gr ECX (50),27,1021.91,2,1175.1964999999998,2350.3929999999996,1532.865,1530,3060,1390.9090909090908,1390,
RBH2825,HORNADY 7MM-139gr BTSP (100),61,777.5,2,894.1249999999999,1788.2499999999998,1166.25,1170,2340,1063.6363636363635,1060,
RBH28284,HORNADY 7MM-150gr CX (50),43,1013,2,1164.9499999999998,2329.8999999999996,1519.5,1520,3040,1381.8181818181818,1380,
RBH2836,HORNADY 7MM-166gr A-TIP (100),21,1890.59,2,2174.1784999999995,4348.356999999999,2835.8849999999998,2840,5680,2581.8181818181815,2580,
RBH2837,HORNADY 7MM-160gr CX (50),3,1021.3,2,1174.495,2348.99,1531.9499999999998,1530,3060,1390.9090909090908,1390,
RBH2840,HORNADY 7MM-162gr ELD-X (100),2,960.27,2,1104.3104999999998,2208.6209999999996,1440.405,1440,2880,1309.090909090909,1310,
RBH3010,HORNADY 30-110gr SP (100),11,656.88,2,755.4119999999999,1510.8239999999998,985.3199999999999,990,1980,899.9999999999999,900,
RBH301914,HORNADY 30-110gr CX (50),21,961.48,2,1105.702,2211.404,1442.22,1440,2880,1309.090909090909,1310,
RBH301934,HORNADY 30-180gr CX (50),88,1021.79,2,1175.0584999999999,2350.1169999999997,1532.685,1530,3060,1390.9090909090908,1390,
RBH301944,HORNADY 30-125gr ECX (50),40,1039.33,2,1195.2295,2390.459,1558.995,1560,3120,1418.181818181818,1420,
RBH30302,HORNADY 30-150gr SST (100),1,866.17,2,996.0954999999999,1992.1909999999998,1299.2549999999999,1300,2600,1181.8181818181818,1180,
RBH30310,HORNADY 30-140gr MONOFLEX (50),34,1000.5,2,1150.5749999999998,2301.1499999999996,1500.75,1500,3000,1363.6363636363635,1360,
RBH30372,HORNADY 30-150gr ECX (50),44,1039.33,2,1195.2295,2390.459,1558.995,1560,3120,1418.181818181818,1420,
RBH3039,HORNADY 30-155gr BTHP Match (100),27,784.51,2,902.1864999999999,1804.3729999999998,1176.7649999999999,1180,2360,1072.7272727272727,1070,
RBH304704,HORNADY 30-165gr CX (50),17,962.25,2,1106.5874999999999,2213.1749999999997,1443.375,1440,2880,1309.090909090909,1310,
RBH3070,HORNADY 30-180gr SP (100),117,762.05,2,876.3574999999998,1752.7149999999997,1143.0749999999998,1140,2280,1036.3636363636363,1040,
RBH30702,HORNADY 30-180gr SST (100),107,911.8,2,1048.57,2097.14,1367.6999999999998,1370,2740,1245.4545454545453,1250,
RBH30715,HORNADY 30-178gr BTHP Match (100),33,893.5,2,1027.5249999999999,2055.0499999999997,1340.25,1340,2680,1218.181818181818,1220,
RBH30717,HORNADY 30-176gr A-TIP (100),90,1961.5,2,2255.725,4511.45,2942.25,2940,5880,2672.7272727272725,2670,
RBH30718,HORNADY 30-175gr SUB-X (30-30WIN) (100),14,1013.79,2,1165.8584999999998,2331.7169999999996,1520.685,1520,3040,1381.8181818181818,1380,
RBH30730,HORNADY 30-190gr SUB-X (100),2,909.56,2,1045.994,2091.988,1364.34,1360,2720,1236.3636363636363,1240,
RBH30731,HORNADY 30-208gr ELD Match (100),25,1105.15,2,1270.9225,2541.845,1657.7250000000001,1660,3320,1509.090909090909,1510,
RBH30733,HORNADY 30-208gr BTHP MATCH (100),60,967.46,2,1112.579,2225.158,1451.19,1450,2900,1318.181818181818,1320,
RBH30738,HORNADY 30-190GR CX (50),35,1014.3,2,1166.445,2332.89,1521.4499999999998,1520,3040,1381.8181818181818,1380,
RBH3091,HORNADY 30-230gr A-TIP (100),24,2172.98,2,2498.9269999999997,4997.853999999999,3259.4700000000003,3260,6520,2963.6363636363635,2960,
RBH3092,HORNADY 30-250gr A-TIP (100),18,2146.76,2,2468.774,4937.548,3220.1400000000003,3220,6440,2927.272727272727,2930,
RBH30951,HORNADY 30-195gr ELD-Match (100),131,903.08,2,1038.542,2077.084,1354.6200000000001,1350,2700,1227.2727272727273,1230,
RBH31000,HORNADY 30-90gr XTP/HP (100),25,542.34,2,623.691,1247.382,813.51,810,1620,736.3636363636363,740,
RBH3130,HORNADY 303-174gr RN (100),51,919.93,2,1057.9195,2115.839,1379.895,1380,2760,1254.5454545454545,1250,
RBH3140,HORNADY 7.62-123gr SP (100),11,785.7,2,903.555,1807.11,1178.5500000000002,1180,2360,1072.7272727272727,1070,
RBH3142,HORNADY 7.62-123gr SST (100),8,875.75,2,1007.1125,2014.225,1313.625,1310,2620,1190.9090909090908,1190,
RBH3147B,HORNADY 7.62-123gr FMJ (2800),3,18682.9,2,21485.335,42970.67,28024.350000000002,28020,56040,25472.727272727272,25470,
RBH32050,HORNADY 32-85gr HP XTP (100),35,515.5,2,592.8249999999999,1185.6499999999999,773.25,770,1540,700,700,
RBH32070,HORNADY 32-100gr XTP (100),8,515.5,2,592.8249999999999,1185.6499999999999,773.25,770,1540,700,700,
RBH3210,HORNADY 32-170gr FP (100),100,374.64,2,430.83599999999996,861.6719999999999,561.96,560,1120,509.09090909090907,510,
RBH32314,HORNADY 8mm-180gr ECX (50),13,1147.3,2,1319.3949999999998,2638.7899999999995,1720.9499999999998,1720,3440,1563.6363636363635,1560,
RBH3232,HORNADY 8mm-150gr SP (100),13,802.82,2,923.2429999999999,1846.4859999999999,1204.23,1200,2400,1090.9090909090908,1090,
RBH33102,HORNADY 338-200gr SST (100),4,1149.6,2,1322.0399999999997,2644.0799999999995,1724.3999999999999,1720,3440,1563.6363636363635,1560,
RBH3320,HORNADY 338-225gr SP (100),51,1330.93,2,1530.5695,3061.139,1996.395,2000,4000,1818.181818181818,1820,
RBH332014,HORNADY 338-225gr CX (50),38,1073,2,1233.9499999999998,2467.8999999999996,1609.5,1610,3220,1463.6363636363635,1460,
RBH33202,HORNADY 338-225gr SST (100),27,1149.6,2,1322.0399999999997,2644.0799999999995,1724.3999999999999,1720,3440,1563.6363636363635,1560,
RBH33270,HORNADY 338-185gr GMX (50),46,737.17,2,847.7454999999999,1695.4909999999998,1105.7549999999999,1110,2220,1009.090909090909,1010,
RBH332704,HORNADY 338-185gr CX (50),25,1086.5,2,1249.475,2498.95,1629.75,1630,3260,1481.8181818181818,1480,
RBH3330,HORNADY 338-250gr RN (100),15,1525.3,2,1754.0949999999998,3508.1899999999996,2287.95,2290,4580,2081.8181818181815,2080,
RBH3335,HORNADY 338-250gr SP (100),2,1382.22,2,1589.5529999999999,3179.1059999999998,2073.33,2070,4140,1881.8181818181818,1880,
RBH33371,HORNADY 338-270gr ELD-X (50),44,1091.12,2,1254.7879999999998,2509.5759999999996,1636.6799999999998,1640,3280,1490.9090909090908,1490,
RBH33381,HORNADY 338-285gr ELD MATCH (50),97,1232.97,2,1417.9154999999998,2835.8309999999997,1849.455,1850,3700,1681.8181818181818,1680,
RBH3501,HORNADY .35-170gr SP (100),24,803.6,2,924.14,1848.28,1205.4,1210,2420,1100,1100,
RBH3503,HORNADY 35-250gr SUB-X (100),10,1005.81,2,1156.6815,2313.363,1508.715,1510,3020,1372.7272727272725,1370,
RBH3510,HORNADY .35-200gr SP (100),4,1289.18,2,1482.557,2965.114,1933.77,1930,3860,1754.5454545454545,1750,
RBH35571,HORNADY 9mm-124gr HP XTP (100),8,559.4,2,643.31,1286.62,839.0999999999999,840,1680,763.6363636363636,760,
RBH3560,HORNADY 9.3-286gr SP/RP (50),20,873.9,2,1004.9849999999999,2009.9699999999998,1310.85,1310,2620,1190.9090909090908,1190,
RBH35614,HORNADY 9.3-250GR ECX (50),22,1205.16,2,1385.934,2771.868,1807.7400000000002,1810,3620,1645.4545454545453,1650,
RBH3565,HORNADY 9.3-300gr DGS (50),25,1310.53,2,1507.1094999999998,3014.2189999999996,1965.795,1970,3940,1790.9090909090908,1790,
RBH35710,HORNADY 38-125gr HP XTP (100),7,536.77,2,617.2855,1234.571,805.155,810,1620,736.3636363636363,740,
RBH37084,HORNADY 375-250gr CX (50),49,1170.31,2,1345.8564999999999,2691.7129999999997,1755.465,1760,3520,1599.9999999999998,1600,
RBH40040,HORNADY 40-180gr HP XTP (100),14,685.66,2,788.5089999999999,1577.0179999999998,1028.49,1030,2060,936.3636363636363,940,
RBH40060,HORNADY 40-200gr XTP (100),13,689.7,2,793.155,1586.31,1034.5500000000002,1030,2060,936.3636363636363,940,
RBH41000,HORNADY 41-210gr XTP (100),20,768.2,2,883.43,1766.86,1152.3000000000002,1150,2300,1045.4545454545453,1050,
RBH4103,HORNADY 410-400gr DGS (50),16,1683.5,2,1936.0249999999999,3872.0499999999997,2525.25,2530,5060,2300,2300,
RBH41044,HORNADY 410-400gr DGX Bonded (50),15,1764.6,2,2029.2899999999997,4058.5799999999995,2646.8999999999996,2650,5300,2409.090909090909,2410,
RBH41050,HORNADY 411-300gr FP (50),2,517.17,2,594.7454999999999,1189.4909999999998,775.7549999999999,780,1560,709.090909090909,710,
RBH41051,HORNADY 411-300gr SP (50),5,1009.46,2,1160.879,2321.758,1514.19,1510,3020,1372.7272727272725,1370,
RBH4167,HORNADY 416-400gr DGS (50),10,1603.34,2,1843.8409999999997,3687.6819999999993,2405.0099999999998,2410,4820,2190.9090909090905,2190,
RBH41694,HORNADY 416-400GR DGX Bonded (50),5,1658.48,2,1907.252,3814.504,2487.7200000000003,2490,4980,2263.6363636363635,2260,
RBH41697,HORNADY 416-500gr A-TIP (25),75,834.55,2,959.7324999999998,1919.4649999999997,1251.8249999999998,1250,2500,1136.3636363636363,1140,
RBH42404,HORNADY 423-400gr DGX Bonded (50),1,2014.5,2,2316.6749999999997,4633.349999999999,3021.75,3020,6040,2745.454545454545,2750,
RBH4241,HORNADY 423-400gr DGS (50),11,1893.2,2,2177.18,4354.36,2839.8,2840,5680,2581.8181818181815,2580,
RBH4305,HORNADY 44-265gr FTX (444 Marlin)(50),10,853.79,2,981.8584999999999,1963.7169999999999,1280.685,1280,2560,1163.6363636363635,1160,
RBH44105,HORNADY .44-225gr FTX (100),11,981.1,2,1128.2649999999999,2256.5299999999997,1471.65,1470,2940,1336.3636363636363,1340,
RBH45010,HORNADY 458-250gr MONOFLEX (45-70GOVT)(50),29,1257.73,2,1446.3895,2892.779,1886.595,1890,3780,1718.181818181818,1720,
RBH45031,HORNADY 452-395gr SUB-X (50),10,921.83,2,1060.1045,2120.209,1382.7450000000001,1380,2760,1254.5454545454545,1250,
RBH45034,HORNADY 458-480gr DGX Bonded (50),2,2234.7,2,2569.9049999999997,5139.8099999999995,3352.0499999999997,3350,6700,3045.454545454545,3050,
RBH45052,HORNADY 458-410gr SUB-X (45-70GOVT) (50),15,971.4,2,1117.11,2234.22,1457.1,1460,2920,1327.2727272727273,1330,
RBH4507,HORNADY 45-500gr DGS,9,1790.12,2,2058.638,4117.276,2685.18,2690,5380,2445.454545454545,2450,
RBH45100,HORNADY 451-185gr HP XTP (100),15,639.28,2,735.1719999999999,1470.3439999999998,958.92,960,1920,872.7272727272726,870,
RBH45140,HORNADY 451-200gr HP XTP (100),7,665.33,2,765.1295,1530.259,997.9950000000001,1000,2000,909.090909090909,910,
RBH45160,HORNADY 451-230gr HP XTP (100),1,738.6,2,849.39,1698.78,1107.9,1110,2220,1009.090909090909,1010,
